delay,freq,condtion,textbox.text,,,,exp,unexp,time(ms),expected,unexpected
0.7,1000,exp,350,,,,350,500,0,0,0
0.1,1000,exp,400,Exp Avg. int. estimate,274.3571429,,400,600,100,21,11
0.1,1000,exp,150,Inexp Avg. int. estimate,300.2631579,,150,250,200,9,8
0.7,1000,exp,300,,-35.97619048,,300,100,300,13,4
0.1,1000,exp,400,,,,400,100,400,14,7
0.4,1000,exp,400,,,,400,100,500,9,2
0.4,1000,exp,350,,,,350,200,600,0,1
0.1,1000,exp,250,,,,250,350,700,1,1
0.7,1000,exp,250,,,,250,100,800,3,4
0.7,1000,exp,100,,,,100,250,900,0,0
0.4,1000,exp,150,,,,150,300,1000,0,0
0.1,1000,exp,150,,,,150,750,,,
0.1,1000,exp,100,,,,100,350,,,
0.4,1000,exp,150,,,,150,100,,,
0.4,1000,exp,100,,,,100,150,,,
0.1,1000,exp,100,,,,100,200,,,
0.7,1000,exp,300,,,,300,200,,,
0.1,1000,exp,100,,,,100,150,,,
0.1,1000,exp,100,,,,100,100,,,
0.4,1000,exp,100,,,,100,300,,,
0.7,1000,exp,250,,,,250,500,,,
0.4,1000,exp,300,,,,300,75,,,
0.1,1000,exp,250,,,,250,700,,,
0.1,1000,exp,100,,,,100,780,,,
0.7,1000,exp,400,,,,400,800,,,
0.1,1000,exp,50,,,,50,105,,,
0.4,1000,exp,500,,,,500,350,,,
0.7,1000,exp,750,,,,750,400,,,
0.7,1000,exp,750,,,,750,350,,,
0.1,1000,exp,350,,,,350,100,,,
0.1,1000,exp,300,,,,300,100,,,
0.7,1000,exp,100,,,,100,100,,,
0.1,1000,exp,100,,,,100,200,,,
0.4,1000,exp,400,,,,400,350,,,
0.4,1000,exp,350,,,,350,750,,,
0.4,1000,exp,300,,,,300,350,,,
0.4,1000,exp,300,,,,300,100,,,
0.1,1000,exp,200,,,,200,150,,,
0.7,1000,exp,150,,,,150,,,,
0.7,1000,exp,150,,,,150,,,,
0.1,1000,exp,100,,,,100,,,,
0.1,1000,exp,300,,,,300,,,,
0.1,1000,exp,50,,,,50,,,,
0.4,1000,exp,75,,,,75,,,,
0.7,1000,exp,100,,,,100,,,,
0.4,1000,exp,450,,,,450,,,,
0.1,1000,exp,700,,,,700,,,,
0.1,1000,exp,450,,,,450,,,,
0.7,1000,exp,450,,,,450,,,,
0.4,1000,exp,500,,,,500,,,,
0.1,1000,exp,400,,,,400,,,,
0.7,1000,exp,450,,,,450,,,,
0.1,1000,exp,300,,,,300,,,,
0.1,1000,exp,300,,,,300,,,,
0.4,1000,exp,50,,,,50,,,,
0.7,1000,exp,750,,,,750,,,,
0.4,1000,exp,445,,,,445,,,,
0.7,1000,exp,350,,,,350,,,,
0.4,1000,exp,350,,,,350,,,,
0.1,1000,exp,350,,,,350,,,,
0.1,1000,exp,405,,,,405,,,,
0.1,1000,exp,100,,,,100,,,,
0.7,1000,exp,150,,,,150,,,,
0.1,1000,exp,375,,,,375,,,,
0.4,1000,exp,125,,,,125,,,,
0.7,1000,exp,100,,,,100,,,,
0.4,1000,exp,500,,,,500,,,,
0.1,1000,exp,70,,,,70,,,,
0.1,1000,exp,60,,,,60,,,,
0.7,1000,exp,50,,,,50,,,,
0.1,400,unexp,500,,,,,,,,
0.7,400,unexp,600,,,,,,,,
0.4,400,unexp,250,,,,,,,,
0.1,400,unexp,100,,,,,,,,
0.4,400,unexp,100,,,,,,,,
0.7,400,unexp,100,,,,,,,,
0.7,400,unexp,200,,,,,,,,
0.4,400,unexp,350,,,,,,,,
0.1,400,unexp,100,,,,,,,,
0.7,400,unexp,250,,,,,,,,
0.1,400,unexp,300,,,,,,,,
0.4,400,unexp,750,,,,,,,,
0.1,400,unexp,350,,,,,,,,
0.4,400,unexp,100,,,,,,,,
0.7,400,unexp,150,,,,,,,,
0.4,400,unexp,200,,,,,,,,
0.7,400,unexp,200,,,,,,,,
0.1,400,unexp,150,,,,,,,,
0.4,400,unexp,100,,,,,,,,
0.7,400,unexp,300,,,,,,,,
0.1,400,unexp,500,,,,,,,,
0.1,400,unexp,75,,,,,,,,
0.7,400,unexp,700,,,,,,,,
0.4,400,unexp,780,,,,,,,,
0.7,400,unexp,800,,,,,,,,
0.1,400,unexp,105,,,,,,,,
0.4,400,unexp,350,,,,,,,,
0.4,400,unexp,400,,,,,,,,
0.7,400,unexp,350,,,,,,,,
0.1,400,unexp,100,,,,,,,,
0.4,400,unexp,100,,,,,,,,
0.7,400,unexp,100,,,,,,,,
0.7,400,unexp,200,,,,,,,,
0.4,400,unexp,350,,,,,,,,
0.4,400,unexp,750,,,,,,,,
0.1,400,unexp,350,,,,,,,,
0.4,400,unexp,100,,,,,,,,
0.7,400,unexp,150,,,,,,,,
